Instrument,Qty.,Avg. cost,LTP,Invested,Cur. val,P&L,Net chg.,Day chg.
AARTIIND,340,385.72,378.35,131143.75,128639,-2504.75,-1.91,0.56
ABB,13,5029.23,5127.4,65380,66656.2,1276.2,1.95,2.57
ASTRAL,29,1283.58,1407.3,37223.9,40811.7,3587.8,9.64,3.49
AUROPHARMA,84,1043.15,1025,87624.6,86100,-1524.6,-1.74,-0.28
BATAINDIA,221,1238.2,1115.5,273643.05,246525.5,-27117.55,-9.91,1.58
CLEAN,140,1220.78,1186.7,170908.9,166138,-4770.9,-2.79,1.04
CONCOR,100,489.05,539.55,48904.5,53955,5050.5,10.33,2.31
DEEPAKNTR,152,2092.96,1785,318129.35,271320,-46809.35,-14.71,-0.19
HAPPSTMNDS,103,581.9,566.2,59935.9,58318.6,-1617.3,-2.7,0.2
IRCON,708,166.8,167.2,118094.04,118377.6,283.56,0.24,4.27
IRCTC,55,707.36,703.95,38905,38717.25,-187.75,-0.48,1.73
ITBEES,4550,39.66,38.96,180447,177268,-3179,-1.76,1.41
LIQUIDBEES,468,992.75,999.99,464604.92,467995.32,3390.4,0.73,0
PVRINOX,30,953.74,1119.3,28612.25,33579,4966.75,17.36,-0.05
TATAMOTORS,302,693.21,690.15,209348,208425.3,-922.7,-0.44,3.16
TCS,40,3175.76,3112.6,127030.2,124504,-2526.2,-1.99,0.9
